year,month,state,rto,vehicle_class,fuel,value,unit,note
2021,August,Uttarakhand,All Vahan Running Office,AMBULANCE,DIESEL,32,value in Absolute Number,
2017,May,West Bengal,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,1,value in Absolute Number,
2023,November,Kerala,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,15,value in Absolute Number,
2017,April,Uttar Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/LPG,593,value in Absolute Number,
2016,August,Bihar,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,1,value in Absolute Number,
2014,February,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,2,value in Absolute Number,
2018,August,Arunachal Pradesh,All Vahan Running Office,GOODS CARRIER,NOT APPLICABLE,7,value in Absolute Number,
2021,February,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),3,value in Absolute Number,
2017,July,Jammu and Kashmir,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,75,value in Absolute Number,
2024,September,Odisha,All Vahan Running Office,TOWER WAGON,DIESEL,4,value in Absolute Number,
2020,February,Uttarakhand,All Vahan Running Office,ADAPTED VEHICLE,DIESEL,1,value in Absolute Number,
2025,January,Haryana,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),247,value in Absolute Number,
2023,September,West Bengal,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),9,value in Absolute Number,
2018,November,Assam,All Vahan Running Office,MOPED,PETROL,286,value in Absolute Number,
2014,December,Bihar,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,3255,value in Absolute Number,
2016,October,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MOTOR CAR,DIESEL,319,value in Absolute Number,
2020,February,Goa,All Vahan Running Office,MOTOR CAR,DIESEL,117,value in Absolute Number,
2021,May,Maharashtra,All Vahan Running Office,ADAPTED VEHICLE,PETROL,6,value in Absolute Number,
2021,May,Kerala,All Vahan Running Office,AMBULANCE,PETROL,2,value in Absolute Number,
2025,February,Andhra Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL/ETHANOL,11,value in Absolute Number,
2016,December,Goa,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,1,value in Absolute Number,
2024,March,Gujarat,All Vahan Running Office,MOTOR CAR,PURE EV,12,value in Absolute Number,
2024,August,Manipur,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,2,value in Absolute Number,
2019,February,Mizoram,All Vahan Running Office,DUMPER,DIESEL,8,value in Absolute Number,
2016,May,Bihar,All Vahan Running Office,TRACTOR (COMMERCIAL),NOT APPLICABLE,8,value in Absolute Number,
2016,July,Karnataka,All Vahan Running Office,PRIVATE SERVICE VEHICLE,PETROL/LPG,3,value in Absolute Number,
2022,March,Assam,All Vahan Running Office,GOODS CARRIER,DIESEL,1926,value in Absolute Number,
2020,January,Andhra Pradesh,All Vahan Running Office,ROAD ROLLER,DIESEL,2,value in Absolute Number,
2023,June,Maharashtra,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,247,value in Absolute Number,
2016,August,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,128,value in Absolute Number,
2022,February,Uttarakhand,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,1,value in Absolute Number,
2020,March,West Bengal,All Vahan Running Office,MOTOR CAB,PETROL,55,value in Absolute Number,
2016,December,Maharashtra,All Vahan Running Office,MAXI CAB,PETROL,1,value in Absolute Number,
2021,March,Chhattisgarh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,315,value in Absolute Number,
2014,September,Gujarat,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,11,value in Absolute Number,
2019,July,Haryana,All Vahan Running Office,E-RICKSHAW(P),DIESEL,1,value in Absolute Number,
2017,April,Andaman and Nicobar Islands,All Vahan Running Office,MOTOR CAR,PETROL,153,value in Absolute Number,
2024,April,Odisha,All Vahan Running Office,MOTOR CAB,DIESEL,231,value in Absolute Number,
2017,January,Meghalaya,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,1,value in Absolute Number,
2017,January,Jammu and Kashmir,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,112,value in Absolute Number,
2014,May,Rajasthan,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),DIESEL,1,value in Absolute Number,
2023,May,Punjab,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,32,value in Absolute Number,
2014,March,Himachal Pradesh,All Vahan Running Office,OMNI BUS,DIESEL,2,value in Absolute Number,
2017,December,Karnataka,All Vahan Running Office,VEHICLE FITTED WITH RIG,PETROL,1,value in Absolute Number,
2017,January,Karnataka,All Vahan Running Office,MOPED,DIESEL,1,value in Absolute Number,
2022,December,Maharashtra,All Vahan Running Office,MOBILE CLINIC,DIESEL,1,value in Absolute Number,
2023,March,Andhra Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,5255,value in Absolute Number,
2019,December,Nagaland,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,292,value in Absolute Number,
2023,July,Gujarat,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),70,value in Absolute Number,
2022,October,Uttarakhand,All Vahan Running Office,MOTOR CAR,PETROL,3320,value in Absolute Number,
2023,November,Nagaland,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,574,value in Absolute Number,
2021,January,Madhya Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,8,value in Absolute Number,
2016,November,Chhattisgarh,All Vahan Running Office,TRAILER (AGRICULTURAL),DIESEL,44,value in Absolute Number,
2023,June,Chhattisgarh,All Vahan Running Office,MOTOR CAR,PETROL,2573,value in Absolute Number,
2018,December,Andhra Pradesh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,12,value in Absolute Number,
2016,May,Tripura,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1,value in Absolute Number,
2023,July,Himachal Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,2,value in Absolute Number,
2022,August,Assam,All Vahan Running Office,GOODS CARRIER,DIESEL,1408,value in Absolute Number,
2022,December,Uttarakhand,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,297,value in Absolute Number,
2015,March,Tamil Nadu,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),DIESEL,10,value in Absolute Number,
2023,October,Karnataka,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,27,value in Absolute Number,
2019,September,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/CNG,133,value in Absolute Number,
2024,October,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,94,value in Absolute Number,
2016,March,Punjab,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,2050,value in Absolute Number,
2015,December,Jammu and Kashmir,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,94,value in Absolute Number,
2019,February,Rajasthan,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,221,value in Absolute Number,
2019,January,West Bengal,All Vahan Running Office,LUXURY CAB,PETROL,399,value in Absolute Number,
2022,March,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),CNG ONLY,8,value in Absolute Number,
2015,June,Uttarakhand,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,4,value in Absolute Number,
2022,February,Himachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,ELECTRIC(BOV),5,value in Absolute Number,
2022,July,Karnataka,All Vahan Running Office,BUS,ELECTRIC(BOV),37,value in Absolute Number,
2016,August,Himachal Pradesh,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,4,value in Absolute Number,
2021,September,Chhattisgarh,All Vahan Running Office,MOTOR CAR,DIESEL,657,value in Absolute Number,
2016,September,Delhi,All Vahan Running Office,GOODS CARRIER,DIESEL,160,value in Absolute Number,
2016,January,Tripura,All Vahan Running Office,AMBULANCE,DIESEL,2,value in Absolute Number,
2018,June,Himachal Pradesh,All Vahan Running Office,EXCAVATOR (NT),DIESEL,3,value in Absolute Number,
2015,June,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL,137,value in Absolute Number,
2025,January,Madhya Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/CNG,5133,value in Absolute Number,
2020,April,Jharkhand,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,121,value in Absolute Number,
2021,January,Andhra Pradesh,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,30,value in Absolute Number,
2017,February,Manipur,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,7,value in Absolute Number,
2015,October,Arunachal Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,NOT APPLICABLE,2,value in Absolute Number,
2018,October,Kerala,All Vahan Running Office,BUS,DIESEL,235,value in Absolute Number,
2017,April,Chandigarh,All Vahan Running Office,BUS,DIESEL,27,value in Absolute Number,
2020,January,Rajasthan,All Vahan Running Office,HARVESTER,DIESEL,12,value in Absolute Number,
2015,November,Sikkim,All Vahan Running Office,MOTOR CAR,PETROL,157,value in Absolute Number,
2024,April,Chhattisgarh,All Vahan Running Office,AMBULANCE,PETROL,12,value in Absolute Number,
2021,October,Rajasthan,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,1,value in Absolute Number,
2025,January,Maharashtra,All Vahan Running Office,MOPED,PURE EV,539,value in Absolute Number,
2022,July,Maharashtra,All Vahan Running Office,THREE WHEELER (PERSONAL),DIESEL,1,value in Absolute Number,
2017,September,Rajasthan,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,7,value in Absolute Number,
2015,February,Chhattisgarh,All Vahan Running Office,M-CYCLE/SCOOTER,DIESEL,1,value in Absolute Number,
2024,November,Maharashtra,All Vahan Running Office,MOTOR CAR,PETROL,11969,value in Absolute Number,
2022,October,Rajasthan,All Vahan Running Office,MOTOR CAB,PETROL/LPG,16,value in Absolute Number,
2023,September,Punjab,All Vahan Running Office,DUMPER,DIESEL,4,value in Absolute Number,
2016,November,Odisha,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,1503,value in Absolute Number,
2014,January,Rajasthan,All Vahan Running Office,MOTOR CAB,DIESEL,691,value in Absolute Number,
2023,September,Punjab,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,3,value in Absolute Number,
2023,November,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,8,value in Absolute Number,
2016,March,Jammu and Kashmir,All Vahan Running Office,ADAPTED VEHICLE,PETROL,4,value in Absolute Number,
2021,October,Assam,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,40,value in Absolute Number,
2018,September,Bihar,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,6,value in Absolute Number,
2023,May,Madhya Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/CNG,1,value in Absolute Number,
2018,February,Maharashtra,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,6950,value in Absolute Number,
2014,January,Chhattisgarh,All Vahan Running Office,BUS,DIESEL,47,value in Absolute Number,
2024,August,Tripura,All Vahan Running Office,MOTOR CAR,DIESEL,56,value in Absolute Number,
2020,August,Karnataka,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,ELECTRIC(BOV),1,value in Absolute Number,
2017,March,Maharashtra,All Vahan Running Office,HEARSES,DIESEL,1,value in Absolute Number,
2021,January,Lakshadweep,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,2,value in Absolute Number,
2019,June,Gujarat,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,10,value in Absolute Number,
2021,December,Karnataka,All Vahan Running Office,MAXI CAB,DIESEL,27,value in Absolute Number,
2024,November,Goa,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),5,value in Absolute Number,
2018,March,Jammu and Kashmir,All Vahan Running Office,MOPED,PETROL,2894,value in Absolute Number,
2024,November,Bihar,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,2,value in Absolute Number,
2020,December,Kerala,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),78,value in Absolute Number,
2020,February,Gujarat,All Vahan Running Office,MOTOR CYCLE/SCOOTER-SIDECAR(T),PETROL,4,value in Absolute Number,
2024,August,Kerala,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,20,value in Absolute Number,
2018,August,Punjab,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,1,value in Absolute Number,
2016,September,Karnataka,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,22,value in Absolute Number,
2017,September,Maharashtra,All Vahan Running Office,AGRICULTURAL TRACTOR,NOT APPLICABLE,6,value in Absolute Number,
2022,August,Manipur,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,11,value in Absolute Number,
2015,October,Chhattisgarh,All Vahan Running Office,ADAPTED VEHICLE,PETROL,4,value in Absolute Number,
2023,June,Himachal Pradesh,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),ELECTRIC(BOV),1,value in Absolute Number,
2018,June,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),DIESEL,6,value in Absolute Number,
2019,September,Odisha,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,22,value in Absolute Number,
2018,December,Andaman and Nicobar Islands,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,554,value in Absolute Number,
2021,November,Haryana,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,1,value in Absolute Number,
2023,May,Ladakh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,45,value in Absolute Number,
2014,September,Gujarat,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,75,value in Absolute Number,
2017,December,Haryana,All Vahan Running Office,LIGHT PASSENGER VEHICLE,BS IV,661,value in Absolute Number,
2018,February,Jammu and Kashmir,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,12,value in Absolute Number,
2024,September,Tripura,All Vahan Running Office,GOODS CARRIER,ELECTRIC(BOV),1,value in Absolute Number,
2024,November,Mizoram,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,1656,value in Absolute Number,
2016,March,Manipur,All Vahan Running Office,GOODS CARRIER,DIESEL,149,value in Absolute Number,
2022,June,Maharashtra,All Vahan Running Office,THREE WHEELER (PERSONAL),ELECTRIC(BOV),1,value in Absolute Number,
2014,May,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,1,value in Absolute Number,
2024,May,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,39,value in Absolute Number,
2016,May,Karnataka,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,118,value in Absolute Number,
2025,January,Karnataka,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,68,value in Absolute Number,
2020,September,Rajasthan,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL,52,value in Absolute Number,
2024,November,Karnataka,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,ELECTRIC(BOV),1,value in Absolute Number,
2018,November,Himachal Pradesh,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,2,value in Absolute Number,
2015,January,Gujarat,All Vahan Running Office,DUMPER,DIESEL,1,value in Absolute Number,
2018,January,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,80793,value in Absolute Number,
2024,November,Uttarakhand,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,597,value in Absolute Number,
2022,September,Punjab,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,26,value in Absolute Number,
2023,March,Uttarakhand,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,31,value in Absolute Number,
2017,April,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL,1,value in Absolute Number,
2022,April,Manipur,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,21,value in Absolute Number,
2015,June,Gujarat,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,3,value in Absolute Number,
2015,March,Karnataka,All Vahan Running Office,MOTOR CAB,PETROL/LPG,11,value in Absolute Number,
2022,July,West Bengal,All Vahan Running Office,HEARSES,DIESEL,1,value in Absolute Number,
2023,March,Ladakh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,12,value in Absolute Number,
2023,January,Gujarat,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,264,value in Absolute Number,
2020,March,Sikkim,All Vahan Running Office,MOTOR CAR,PETROL,212,value in Absolute Number,
2024,November,Jammu and Kashmir,All Vahan Running Office,MOTOR CAR,DIESEL,682,value in Absolute Number,
2023,July,Gujarat,All Vahan Running Office,ROAD ROLLER,DIESEL,5,value in Absolute Number,
2016,April,Tamil Nadu,All Vahan Running Office,OMNI BUS,DIESEL,20,value in Absolute Number,
2022,February,Karnataka,All Vahan Running Office,AMBULANCE,DIESEL,38,value in Absolute Number,
2020,January,West Bengal,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,277,value in Absolute Number,
2017,October,Madhya Pradesh,All Vahan Running Office,MAXI CAB,DIESEL,1,value in Absolute Number,
2019,September,Karnataka,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,67,value in Absolute Number,
2022,November,West Bengal,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,16,value in Absolute Number,
2020,June,Rajasthan,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,1,value in Absolute Number,
2024,June,Gujarat,All Vahan Running Office,FORK LIFT,DIESEL,59,value in Absolute Number,
2015,October,Bihar,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,698,value in Absolute Number,
2015,June,Bihar,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,4,value in Absolute Number,
2024,December,Maharashtra,All Vahan Running Office,ARTICULATED VEHICLE,LNG,1,value in Absolute Number,
2017,June,Jammu and Kashmir,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,51,value in Absolute Number,
2014,December,Andhra Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,53,value in Absolute Number,
2022,June,Kerala,All Vahan Running Office,MAXI CAB,DIESEL,10,value in Absolute Number,
2020,July,Uttarakhand,All Vahan Running Office,MOTOR CAR,PETROL,2577,value in Absolute Number,
2022,May,Jharkhand,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),8,value in Absolute Number,
2021,June,Meghalaya,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,2,value in Absolute Number,
2017,July,Odisha,All Vahan Running Office,THREE WHEELER (GOODS),PETROL,2,value in Absolute Number,
2022,May,Karnataka,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,63,value in Absolute Number,
